prodcodeid,termfromemis,drugsubstancename,bnfchapter,diuretics
9159541000033117,Actelsar HCT 80mg/25mg tablets (Accord Healthcare Ltd),Hydrochlorothiazide/ Telmisartan,,1
9278541000033112,Spironolactone 3mg / Chlorothiazide 30mg capsules,Chlorothiazide/ Spironolactone,,1
9292641000033116,Tolucombi 40mg/12.5mg tablets (Consilient Health Ltd),Hydrochlorothiazide/ Telmisartan,,1
9292741000033113,Tolucombi 80mg/12.5mg tablets (Consilient Health Ltd),Hydrochlorothiazide/ Telmisartan,,1
10713941000033113,Bumetanide 5mg/5ml oral suspension,Bumetanide,,1
12312641000033118,Alkapamid XL 1.5mg tablets (HBS Healthcare Ltd),Indapamide,,1
12988441000033113,Lorvacs XL 1.5mg tablets (Torrent Pharma (UK) Ltd),Indapamide,,1
13443441000033115,Lisoretic 10mg/12.5mg tablets (Bristol Laboratories Ltd),Hydrochlorothiazide/ Lisinopril,,1
13443541000033119,Lisoretic 20mg/12.5mg tablets (Bristol Laboratories Ltd),Hydrochlorothiazide/ Lisinopril,,1
13777741000033113,Spironolactone 12.5mg tablets,Spironolactone,,1
13812841000033111,Chlortalidone 12.5mg tablets,Chlortalidone,,1
13813041000033113,Hylaton 50mg tablets (Morningside Healthcare Ltd),Chlortalidone,,1
