prodcodeid,termfromemis,drugsubstancename,bnfchapter,aceinhib
6012441000033118,Enalapril 1.25mg/5ml oral solution,Enalapril maleate,,1
6012541000033117,Enalapril 1.25mg/5ml oral suspension,Enalapril maleate,,1
6044541000033115,Lisinopril 20mg/5ml oral suspension,Lisinopril,,1
6044641000033119,Lisinopril 20mg/5ml oral solution,Lisinopril,,1
6180641000033112,Sevikar HCT 20mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd),Amlodipine besilate/ Hydrochlorothiazide/ Olmesartan medoxomil,2050502,1
6180741000033115,Sevikar HCT 40mg/5mg/12.5mg tablets (Daiichi Sankyo UK Ltd),Amlodipine besilate/ Hydrochlorothiazide/ Olmesartan medoxomil,2050502,1
6180841000033113,Sevikar HCT 40mg/10mg/12.5mg tablets (Daiichi Sankyo UK Ltd),Amlodipine besilate/ Hydrochlorothiazide/ Olmesartan medoxomil,2050502,1
6180941000033117,Sevikar HCT 40mg/5mg/25mg tablets (Daiichi Sankyo UK Ltd),Amlodipine besilate/ Hydrochlorothiazide/ Olmesartan medoxomil,2050502,1
6181041000033110,Sevikar HCT 40mg/10mg/25mg tablets (Daiichi Sankyo UK Ltd),Amlodipine besilate/ Hydrochlorothiazide/ Olmesartan medoxomil,2050502,1
6435741000033117,Irbesartan 37.5mg oral powder sachets,Irbesartan,,1
6515441000033113,Valsartan 80mg tablets,Valsartan,,1
6515541000033114,Valsartan 160mg tablets,Valsartan,,1
6517041000033110,Ramipril 2.5mg/5ml oral solution sugar free,Ramipril,,1
6528441000033113,Valsartan 3mg/ml oral solution,Valsartan,,1
6528541000033114,Diovan 3mg/1ml oral solution (Novartis Pharmaceuticals UK Ltd),Valsartan,,1
7754841000033119,Azilsartan medoxomil 20mg tablets,Azilsartan medoxomil,2050502,1
7754941000033110,Azilsartan medoxomil 40mg tablets,Azilsartan medoxomil,2050502,1
7755041000033110,Azilsartan medoxomil 80mg tablets,Azilsartan medoxomil,2050502,1
7755141000033114,Edarbi 20mg tablets (Takeda UK Ltd),Azilsartan medoxomil,2050502,1
7755241000033119,Edarbi 40mg tablets (Takeda UK Ltd),Azilsartan medoxomil,2050502,1
7755341000033112,Edarbi 80mg tablets (Takeda UK Ltd),Azilsartan medoxomil,2050502,1
8263341000033116,Perindopril tosilate 2.5mg tablets,Perindopril tosilate,,1
8263441000033110,Perindopril tosilate 5mg tablets,Perindopril tosilate,,1
8263541000033111,Perindopril tosilate 10mg tablets,Perindopril tosilate,,1
8263641000033112,Perindopril tosilate 5mg / Indapamide 1.25mg tablets,Indapamide/ Perindopril tosilate,,1
8264941000033119,Triapin 2.5mg/2.5mg modified-release tablets (Sanofi),Felodipine/ Ramipril,2050501,1
8275941000033110,Perindopril erbumine 8mg/5ml oral solution,Perindopril erbumine,,1
8276041000033117,Perindopril erbumine 4mg/5ml oral suspension,Perindopril erbumine,,1
8276141000033118,Perindopril erbumine 8mg/5ml oral suspension,Perindopril erbumine,,1
8554141000033116,Ifirmasta 75mg tablets (Consilient Health Ltd),Irbesartan,,1
8554241000033111,Ifirmasta 150mg tablets (Consilient Health Ltd),Irbesartan,,1
8554341000033118,Ifirmasta 300mg tablets (Consilient Health Ltd),Irbesartan,,1
8869441000033119,Perindopril erbumine 4mg/5ml oral solution,Perindopril erbumine,,1
8961241000033112,Noyada 5mg/5ml oral solution (Martindale Pharmaceuticals Ltd),Captopril,2050501,1
8961341000033119,Noyada 25mg/5ml oral solution (Martindale Pharmaceuticals Ltd),Captopril,2050501,1
9105241000033114,Perindopril erbumine 4mg / Amlodipine 5mg tablets,Amlodipine besilate/ Perindopril erbumine,,1
9105341000033116,Perindopril erbumine 4mg / Amlodipine 10mg tablets,Amlodipine besilate/ Perindopril erbumine,,1
9105441000033110,Perindopril erbumine 8mg / Amlodipine 5mg tablets,Amlodipine besilate/ Perindopril erbumine,,1
9105541000033111,Perindopril erbumine 8mg / Amlodipine 10mg tablets,Amlodipine besilate/ Perindopril erbumine,,1
9108041000033111,Captopril 25mg/5ml oral solution sugar free,Captopril,2050501,1
9108141000033110,Captopril 5mg/5ml oral solution sugar free,Captopril,2050501,1
9159341000033112,Actelsar HCT 40mg/12.5mg tablets (Actavis UK Ltd),Hydrochlorothiazide/ Telmisartan,,1
9159441000033118,Actelsar HCT 80mg/12.5mg tablets (Actavis UK Ltd),Hydrochlorothiazide/ Telmisartan,,1
9159541000033117,Actelsar HCT 80mg/25mg tablets (Accord Healthcare Ltd),Hydrochlorothiazide/ Telmisartan,,1
9209341000033116,Tolura 20mg tablets (Consilient Health Ltd),Telmisartan,,1
9209541000033111,Tolura 80mg tablets (Consilient Health Ltd),Telmisartan,,1
9292641000033116,Tolucombi 40mg/12.5mg tablets (Consilient Health Ltd),Hydrochlorothiazide/ Telmisartan,,1
9292741000033113,Tolucombi 80mg/12.5mg tablets (Consilient Health Ltd),Hydrochlorothiazide/ Telmisartan,,1
10645041000033114,Lisinopril 5mg/5ml oral solution sugar free,Lisinopril,,1
10943641000033117,Sacubitril 24mg / Valsartan 26mg tablets,Sacubitril/ Valsartan,2050502,1
10943741000033114,Sacubitril 49mg / Valsartan 51mg tablets,Sacubitril/ Valsartan,2050502,1
10943841000033116,Sacubitril 97mg / Valsartan 103mg tablets,Sacubitril/ Valsartan,2050502,1
10943941000033112,Entresto 24mg/26mg tablets (Novartis Pharmaceuticals UK Ltd),Sacubitril/ Valsartan,2050502,1
10944041000033114,Entresto 49mg/51mg tablets (Novartis Pharmaceuticals UK Ltd),Sacubitril/ Valsartan,2050502,1
10944141000033113,Entresto 97mg/103mg tablets (Novartis Pharmaceuticals UK Ltd),Sacubitril/ Valsartan,2050502,1
13443441000033115,Lisoretic 10mg/12.5mg tablets (Bristol Laboratories Ltd),Hydrochlorothiazide/ Lisinopril,,1
13443541000033119,Lisoretic 20mg/12.5mg tablets (Bristol Laboratories Ltd),Hydrochlorothiazide/ Lisinopril,,1
13740241000033119,Enalapril 20mg tablets (Imported),Enalapril maleate,,1
